planning_area,category,model,score
OUTRAM,essential_services,hansen,1653.1202937566295
OUTRAM,transport_services,2sfca,78.80788086749864
OUTRAM,transport_services,cumulative,667.0
OUTRAM,transport_services,hansen,2074496.4649257618
PASIR RIS,community_spaces,2sfca,52.49316174467848
PASIR RIS,community_spaces,cumulative,591.5
PASIR RIS,community_spaces,hansen,1600613.221053976
PASIR RIS,education_institutions,2sfca,88.84103743004165
PASIR RIS,education_institutions,cumulative,160.625
PASIR RIS,education_institutions,hansen,1242.7050916124724
PASIR RIS,emergency_services,2sfca,7.621492070021482
PASIR RIS,emergency_services,cumulative,3.5
PASIR RIS,emergency_services,hansen,30.00307639711914
PASIR RIS,essential_services,2sfca,129.95838582294053
PASIR RIS,essential_services,cumulative,116.375
PASIR RIS,essential_services,hansen,1028.5790630546269
PASIR RIS,transport_services,2sfca,215.55676008780628
PASIR RIS,transport_services,cumulative,350.75
PASIR RIS,transport_services,hansen,1002109.0846216365
PAYA LEBAR,community_spaces,2sfca,23.525605965573412
PAYA LEBAR,community_spaces,cumulative,435.0
PAYA LEBAR,community_spaces,hansen,38.960947276890714
PAYA LEBAR,education_institutions,2sfca,82.14901971036798
PAYA LEBAR,education_institutions,cumulative,221.4
PAYA LEBAR,education_institutions,hansen,153.78438202575538
PAYA LEBAR,emergency_services,2sfca,3.352693892495683
PAYA LEBAR,emergency_services,cumulative,2.8
PAYA LEBAR,emergency_services,hansen,10.266423816527972
PAYA LEBAR,essential_services,2sfca,125.93641462530778
PAYA LEBAR,essential_services,cumulative,176.2
PAYA LEBAR,essential_services,hansen,236.35434959010007
PAYA LEBAR,transport_services,2sfca,157.82052367001904
PAYA LEBAR,transport_services,cumulative,444.8
PAYA LEBAR,transport_services,hansen,1603675.3709373123
PIONEER,community_spaces,2sfca,3.5809257305862503
PIONEER,community_spaces,cumulative,70.2
PIONEER,community_spaces,hansen,4.803425380672776
PIONEER,education_institutions,2sfca,14.407031567735293
PIONEER,education_institutions,cumulative,31.0
PIONEER,education_institutions,hansen,19.749461502927893
PIONEER,emergency_services,2sfca,4.1951469583048535
PIONEER,emergency_services,cumulative,2.2
PIONEER,emergency_services,hansen,5.8438679702046645
PIONEER,essential_services,2sfca,21.803665816960738
PIONEER,essential_services,cumulative,23.0
PIONEER,essential_services,hansen,40.808208276491506
PIONEER,transport_services,2sfca,210.15684124349946
PIONEER,transport_services,cumulative,325.8
PIONEER,transport_services,hansen,4809184.240145962
PUNGGOL,community_spaces,2sfca,11.919888222475718
PUNGGOL,community_spaces,cumulative,227.57142857142858
PUNGGOL,community_spaces,hansen,714626.8578002219
PUNGGOL,education_institutions,2sfca,66.26088944123431
PUNGGOL,education_institutions,cumulative,171.71428571428572
PUNGGOL,education_institutions,hansen,3431142.348615032
PUNGGOL,emergency_services,2sfca,1.6666666666666667
PUNGGOL,emergency_services,cumulative,1.5714285714285714
PUNGGOL,emergency_services,hansen,17.547380528186665
PUNGGOL,essential_services,2sfca,113.11378251585681
PUNGGOL,essential_services,cumulative,145.85714285714286
PUNGGOL,essential_services,hansen,6894111.16713684
PUNGGOL,transport_services,2sfca,98.02297498101522
PUNGGOL,transport_services,cumulative,271.85714285714283
PUNGGOL,transport_services,hansen,1153012.9908277732
QUEENSTOWN,community_spaces,2sfca,20.886813026222583
QUEENSTOWN,community_spaces,cumulative,585.5333333333333
QUEENSTOWN,community_spaces,hansen,74419.44217042143
QUEENSTOWN,education_institutions,2sfca,39.54625945003543
QUEENSTOWN,education_institutions,cumulative,170.06666666666666
QUEENSTOWN,education_institutions,hansen,2134463.927481319
QUEENSTOWN,emergency_services,2sfca,3.8412254374457637
QUEENSTOWN,emergency_services,cumulative,4.933333333333334
QUEENSTOWN,emergency_services,hansen,19.141108179722405
QUEENSTOWN,essential_services,2sfca,59.83103747148519
QUEENSTOWN,essential_services,cumulative,132.4
QUEENSTOWN,essential_services,hansen,3201562.1520284046
QUEENSTOWN,transport_services,2sfca,106.02072424468629
QUEENSTOWN,transport_services,cumulative,444.73333333333335
QUEENSTOWN,transport_services,hansen,1069816.0873409007
RIVER VALLEY,community_spaces,2sfca,13.566325857940068
RIVER VALLEY,community_spaces,cumulative,849.8
RIVER VALLEY,community_spaces,hansen,166.7584621949832
RIVER VALLEY,education_institutions,2sfca,35.451948049553735
RIVER VALLEY,education_institutions,cumulative,279.4
RIVER VALLEY,education_institutions,hansen,434.7766628960988
RIVER VALLEY,emergency_services,2sfca,2.797077474536085
RIVER VALLEY,emergency_services,cumulative,7.0
