id,created_at,text,event_date,sender_id,msg_id,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code
181,,,1/1/2021,,,LORONG HALUS,flash_flood,,,,,1.386169,103.923226,533850,,,
182,,,2/1/2021,,,PASIR RIS STREET 11,flash_flood,,,,,1.364996,103.958511,510136,,,
183,,,23/3/2021,,,BOON LAY WAY,flash_flood,,,,,1.344351,103.727438,648164,,,
184,,,23/3/2021,,,CORPORATION ROAD,flash_flood,,,,,1.338077,103.71708,618310,,,
185,,,23/3/2021,,,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,
186,,,29/3/2021,,,VICTORIA STREET,flash_flood,,,,,1.300563,103.855781,188030,,,
187,,,17/4/2021,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
188,,,17/4/2021,,,SUNGEI ULU PANDAN,flash_flood,,,,,1.317109,103.773462,597596,,,
189,,,12/7/2021,,,CALTEX BINJAI PARK,flash_flood,,,,,1.335235,103.786793,589821,,,
190,,,20/8/2021,,,75359 (BUS STOP),flash_flood,,,,,1.374387,103.931479,528764,,,
191,,,24/8/2021,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
192,,,30/8/2021,,,HOUGANG AVENUE 8,flash_flood,,,,,1.373321,103.886366,530583,,,
193,,,30/8/2021,,,PUNGGOL WEST FLYOVER,flash_flood,,,,,1.398885,103.896382,543287,,,
194,,,2/9/2021,,,PUNGGOL WEST FLYOVER,flash_flood,,,,,1.398885,103.896382,543287,,,
195,,,6/9/2021,,,JURONG EAST STREET 32,flash_flood,,,,,1.346948,103.733825,600314,,,
196,,,23/11/2021,,,JURONG EAST STREET 32,flash_flood,,,,,1.346948,103.733825,600314,,,
197,,,27/2/2022,,,BEDOK NORTH FLYOVER,flash_flood,,,,,1.332028,103.920369,460540,,,
198,,,27/2/2022,,,REGENT CENTRE,flash_flood,,,,,1.334035,103.899317,408609,,,
199,,,2/3/2022,,,209 PUNGGOL PLACE PUNGGOL CREST,flash_flood,,,,,1.398977,103.900937,820209,,,
200,,,2/3/2022,,,BUANGKOK FLYOVER,flash_flood,,,,,1.37684,103.910119,533952,,,
201,,,7/3/2022,,,SUNGEI TENGAH,flash_flood,,,,,1.398992,103.725111,698986,,,
202,,,7/3/2022,,,JURONG EAST ST 32,flash_flood,,,,,1.346948,103.733825,600314,,,
203,,,7/3/2022,,,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,
204,,,5/10/2022,,,LAVENDER MRT,flash_flood,,,,,1.307507,103.862938,208699,,,
205,,,7/11/2022,,,BKE EXIT 8,flash_flood,,,,,1.416285,103.770721,738078,,,
206,,,12/11/2022,,,TANAH MERAH MRT,flash_flood,,,,,1.327311,103.946452,465514,,,
