planning_area,category,category_norm,composite_score,composite_percentile,composite_rank,importance_label,confidence_label,model_spread,model_std_norm,dominant_model,laggard_model,rank_median,rank_mean,rank_spread,pareto_priority,model_min_norm,model_max_norm,2sfca_norm,2sfca_raw,rank_2sfca,cumulative_norm,cumulative_raw,rank_cumulative,hansen_norm,hansen_raw,rank_hansen
NEWTON,transport_services,transport_services,33.33380762230571,43.63636363636363,32.0,Priority for action,Low agreement,95.71826312832756,40.1454204384465,cumulative,hansen,37.0,26.333333333333332,34.0,False,0.01965035767751716,95.73791348600508,28.36065963560288,95.74978811796828,37.0,95.73791348600508,757.5,4.0,0.01965035767751716,1613.395615153352,38.0
NORTH-EASTERN ISLANDS,community_spaces,community_spaces,39.583521149254544,83.63636363636363,10.0,Priority for action,Low agreement,72.7762432143417,31.248051967676734,2sfca,hansen,23.0,25.333333333333332,43.0,False,0.024828669004205873,72.80107188334591,72.80107188334591,38.215584415584416,5.0,15.877683034401645,162.0,48.0,0.024828669004205873,790.0270555565347,23.0
NORTH-EASTERN ISLANDS,education_institutions,education_institutions,0.0,3.6363636363636362,53.0,Priority for action,High agreement,0.0,0.0,2sfca,2sfca,53.0,53.0,0.0,True,0.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,0.0,0.0,53.0
NORTH-EASTERN ISLANDS,emergency_services,emergency_services,59.69698585673467,100.0,1.0,Needs improvement,Low agreement,99.99994613411674,40.83105486391252,2sfca,hansen,20.0,18.0,32.0,False,5.386588326162086e-05,100.0,100.0,50.0,1.0,48.484848484848484,4.0,20.0,5.386588326162086e-05,13.466479803879205,33.0
NORTH-EASTERN ISLANDS,essential_services,essential_services,3.6219543407399133,5.454545454545454,53.0,Priority for action,High agreement,6.84335961763579,3.0218771687727135,2sfca,hansen,51.0,46.0,17.0,True,0.0045758246512943145,6.847935442287084,6.847935442287084,13.333333333333332,51.0,0.9830693610049154,3.0,52.0,0.0045758246512943145,732.1402214948419,35.0
NORTH-EASTERN ISLANDS,transport_services,transport_services,17.436368617702495,14.545454545454545,48.0,Priority for action,Low agreement,31.90863338702138,13.640527178933267,2sfca,hansen,43.0,43.0,20.0,True,0.007781190227034398,31.916414577248414,31.916414577248414,103.9896103896104,33.0,7.37913486005089,63.0,53.0,0.007781190227034398,663.5752186548294,43.0
NOVENA,community_spaces,community_spaces,34.77309714215752,67.27272727272727,19.0,Priority for action,Low agreement,83.49970344458916,34.19117982236713,cumulative,hansen,25.0,23.333333333333332,31.0,False,0.0051480696713440376,83.50485151426051,36.141164836808024,18.9716401141965,25.0,83.50485151426051,852.0,7.0,0.0051480696713440376,163.80718288051912,38.0
NOVENA,education_institutions,education_institutions,33.632453521111756,58.18181818181818,24.0,Priority for action,Low agreement,73.00617861641544,29.813619700187573,cumulative,hansen,25.0,22.666666666666668,19.0,False,0.003939427429427003,73.01011804384487,38.058496168227904,47.51304151749788,25.0,73.01011804384487,247.4,12.0,0.003939427429427003,630.3112315833819,31.0
NOVENA,emergency_services,emergency_services,13.45581695526785,56.36363636363636,25.0,Priority for action,Low agreement,55.757511115867544,25.26824893768367,cumulative,hansen,29.0,29.333333333333332,25.0,False,6.464170820350015e-05,55.75757575757575,4.608564822480473,2.3042824112402367,42.0,55.75757575757575,4.6,17.0,6.464170820350015e-05,16.160437837485738,29.0
NOVENA,essential_services,essential_services,34.00393131655809,52.72727272727272,27.0,Priority for action,Low agreement,72.87249994371966,29.771779325291764,cumulative,hansen,27.0,23.666666666666668,20.0,False,0.005708685444734321,72.87820862916439,38.85315397018358,75.64937743670733,27.0,72.87820862916439,222.4,12.0,0.005708685444734321,913.3999976965766,32.0
