amenity_id,nearest_first_road_id,nearest_first_road_name,nearest_second_road_id,nearest_second_road_name,nearest_third_road_id,nearest_third_road_name,nearest_fourth_road_id,nearest_fourth_road_name
43b3d218-8507-5d85-a877-2826a0da2a06,2773,PASIR RIS STREET 13,2771,PASIR RIS STREET 11,2772,PASIR RIS STREET 12,3557,TAMPINES STREET 45
9b879fe4-da87-54a0-8972-8fa628b689e1,3342,STIRLING ROAD,3343,STIRLING WALK,807,DUNDEE ROAD,2464,MEI LING STREET
62869402-6d89-5779-adcc-57b7d772f8e7,2909,PRINCE PHILIP AVENUE,1169,HENDERSON CRESCENT,2903,PRINCE CHARLES CRESCENT,3908,VIKING ROAD
fd803f5b-0ed5-5867-8c15-ed6c9c441c59,577,CHOA CHU KANG NORTH 5,573,CHOA CHU KANG DRIVE,584,CHOA CHU KANG STREET 53,583,CHOA CHU KANG STREET 52
a6d18b94-e097-5a77-8ef6-ef836fe49cfe,4079,WOODLANDS VIEW,4047,WOODLANDS DRIVE 75,4046,WOODLANDS DRIVE 73,4062,WOODLANDS LANE
9fffdeb9-1dc0-5c8a-ab31-81a65416f503,1815,JURONG TOWN HALL ROAD,1793,JURONG EAST CENTRAL 1,1796,JURONG EAST STREET 13,3053,SCIENCE CENTRE ROAD
444cc482-5966-5686-a498-2e5dc404af2a,1232,HOUGANG AVENUE 1,1513,JALAN LEPAS,1642,JALAN SAMARINDA,1245,HOUGANG STREET 22
69193f2e-02d5-5323-813f-2daf94ee4a79,3685,TOA PAYOH CENTRAL,2192,LORONG 4 TOA PAYOH,2141,LORONG 1 TOA PAYOH,2162,LORONG 2 TOA PAYOH
3e062b34-7911-5880-a555-1cfbfbaef073,2207,LORONG 8A TOA PAYOH,302,BRADDELL ROAD,2204,LORONG 7 TOA PAYOH,2206,LORONG 8 TOA PAYOH
67c5ab79-6ddc-5889-83b3-87eb53fe2507,188,BEDOK NORTH STREET 1,175,BEDOK CENTRAL,186,BEDOK NORTH DRIVE,2616,NEW UPPER CHANGI ROAD
66709f0d-e70a-5395-824d-99d825315061,2847,PETIR ROAD,376,BUKIT PANJANG ROAD,1019,GANGSA ROAD,2825,PENDING ROAD
efde9520-e4e1-560c-967f-4dcc0e5a4eff,3621,TECK WHYE LANE,3619,TECK WHYE AVENUE,1906,KEAT HONG LINK,3620,TECK WHYE CRESCENT
20916069-5b1d-55ad-9718-2975f2431072,4028,WOODLANDS DRIVE 16,4033,WOODLANDS DRIVE 44,4029,WOODLANDS DRIVE 17,4032,WOODLANDS DRIVE 43
90f3877d-d317-5071-9225-526b564857f4,614,CIRCUIT ROAD,2879,PIPIT ROAD,2220,LORONG BENGKOK,613,CIRCUIT LINK
c58a53c8-8582-5812-9436-bc6fbb1331a0,1232,HOUGANG AVENUE 1,1513,JALAN LEPAS,1594,JALAN PELIKAT,1642,JALAN SAMARINDA
06ac4385-dbc7-559b-bdee-1a867baf3fb3,1820,JURONG WEST AVENUE 5,1845,JURONG WEST STREET 82,1844,JURONG WEST STREET 81,1840,JURONG WEST STREET 73
7a9b758c-8f60-5e88-9dcd-e0f9c70fb1fb,573,CHOA CHU KANG DRIVE,577,CHOA CHU KANG NORTH 5,584,CHOA CHU KANG STREET 53,585,CHOA CHU KANG STREET 54
f0b58035-6375-50f7-aaa9-9c9cbac174b5,84,ANG MO KIO STREET 21,86,ANG MO KIO STREET 23,81,ANG MO KIO STREET 11,2440,MAYFLOWER AVENUE
f4bc1ca5-8c52-5bb8-a0f4-a6848dd99097,175,BEDOK CENTRAL,2616,NEW UPPER CHANGI ROAD,188,BEDOK NORTH STREET 1,205,BEDOK SOUTH AVENUE 2
b807b51e-59cc-5704-bf5e-6792e91e9cea,353,BUKIT BATOK STREET 33,352,BUKIT BATOK STREET 32,359,BUKIT BATOK WEST AVENUE 4,360,BUKIT BATOK WEST AVENUE 5
42331974-0f78-58ed-ba6e-2bf5af3bf241,1819,JURONG WEST AVENUE 4,1838,JURONG WEST STREET 71,1839,JURONG WEST STREET 72,1834,JURONG WEST STREET 62
15c401f7-bdba-573f-8992-d51aec753b30,346,BUKIT BATOK STREET 21,347,BUKIT BATOK STREET 22,335,BUKIT BATOK CENTRAL,343,BUKIT BATOK INDUSTRIAL PARK A
8c2bed70-1990-5665-94f4-b80886fb07b0,572,CHOA CHU KANG CRESCENT,579,CHOA CHU KANG NORTH 7,587,CHOA CHU KANG STREET 64,3392,SUNGEI KADUT AVENUE
f0995534-efb9-5a2f-8e63-e4be3fa3d75f,4072,WOODLANDS STREET 31,4074,WOODLANDS STREET 41,4014,WOODLANDS AVENUE 3,127,ASHWOOD GROVE
987799fe-3295-5f81-a3e7-42edbf20bb00,4107,YISHUN AVENUE 4,4128,YISHUN STREET 61,4103,YISHUN AVENUE 1,4131,YISHUN STREET 81
41583dac-78e9-5f3a-9040-b10fa212d379,568,CHOA CHU KANG AVENUE 4,589,CHOA CHU KANG WALK,567,CHOA CHU KANG AVENUE 3,576,CHOA CHU KANG LOOP
