id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code,start_planning_area,start_planning_area_id,start_subzone,start_subzone_id,start_street_name,start_street_id,end_planning_area,end_planning_area_id,end_subzone,end_subzone_id,end_street_name,end_street_id
72,,24/12/2016,CAIRNHILL ROAD,flash_flood,,,,,1.308031,103.836841,228512,,,,NEWTON,000044,CAIRNHILL,000056,CAIRNHILL ROAD,035708,,,,,,
73,,24/12/2016,STEVENS ROAD,flash_flood,,,,,1.31317,103.828976,257878,,,,TANGLIN,000048,NASSIM,000134,STEVENS ROAD,026964,,,,,,
74,,24/12/2016,UPPER THOMSON ROAD,flash_flood,,,,,1.373054,103.828958,574419,,,,ANG MO KIO,000052,SEMBAWANG HILLS,000171,UPPER THOMSON ROAD,019947,,,,,,
75,,24/12/2016,ORCHARD ROAD,flash_flood,,,,,1.303228,103.83668,229921,,,,ORCHARD,000045,SOMERSET,000079,BIDEFORD ROAD,057572,,,,,,
76,,24/12/2016,NEWTON CIRCUS,flash_flood,,,,,1.313224,103.838945,307943,,,,NEWTON,000044,NEWTON CIRCUS,000108,NEWTON CIRCUS,029886,,,,,,
77,,19/1/2017,53041 (BUS STOP),flash_flood,,,,,1.353078,103.834364,574359,,,,BISHAN,000051,UPPER THOMSON,000328,UPPER THOMSON ROAD,019936,,,,,,
78,,23/1/2017,134 TANJONG PAGAR ROAD,flash_flood,,,,,1.277471,103.843403,088534,,,,OUTRAM,000046,CHINATOWN,000003,CRAIG ROAD,039867,,,,,,
79,,23/1/2017,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,088437,,,,DOWNTOWN CORE,000040,MAXWELL,000040,MAXWELL ROAD,054987,,,,,,
80,,3/2/2017,TAMPINES STREET 22,flash_flood,,,,,1.349038,103.951095,520272,,,,TAMPINES,000047,TAMPINES EAST,000185,TAMPINES STREET 22,031107,,,,,,
81,,3/2/2017,LORONG HALUS,flash_flood,,,,,1.386169,103.923226,533850,,,,PASIR RIS,000014,PASIR RIS WAFER FAB PARK,000242,LORONG HALUS,005299,,,,,,
82,,4/2/2017,TAMPINES FLYOVER,flash_flood,,,,,1.381657,103.917491,520175,,,,PAYA LEBAR,000054,PAYA LEBAR WEST,000229,TAMPINES EXPRESSWAY,028004,,,,,,
83,,4/2/2017,BEDOK NORTH FLYOVER,flash_flood,,,,,1.332028,103.920369,460540,,,,BEDOK,000001,BEDOK NORTH,000095,PAN ISLAND EXPRESSWAY,017536,,,,,,
84,,8/2/2017,TOA PAYOH LORONG 1,flash_flood,,,,,1.338046,103.844734,310127,,,,TOA PAYOH,000029,TOA PAYOH WEST,000210,LORONG 1A TOA PAYOH,041329,,,,,,
85,,8/2/2017,TOA PAYOH LORONG 2,flash_flood,,,,,1.336287,103.846514,319640,,,,TOA PAYOH,000029,TOA PAYOH CENTRAL,000096,LORONG 2 TOA PAYOH,042024,,,,,,
86,,8/2/2017,ORCHARD MRT EXIT 10,flash_flood,,,,,1.304048,103.831124,238878,,,,ORCHARD,000045,BOULEVARD,000073,PATERSON ROAD,054597,,,,,,
87,,8/2/2017,STAMFORD HOUSE,flash_flood,,,,,1.294162,103.850711,179949,,,,DOWNTOWN CORE,000040,CITY HALL,000088,STAMFORD ROAD,039994,,,,,,
88,,18/4/2017,MOUNT ELIZABETH MEDICAL CENTRE,flash_flood,,,,,1.322137,103.844361,329562,,,,NOVENA,000025,BALESTIER,000175,IRRAWADDY ROAD,058067,,,,,,
89,,18/4/2017,UNIVERSITY FLYOVER,flash_flood,,,,,1.303247,103.771674,120611,,,,QUEENSTOWN,000017,NATIONAL UNIVERSITY OF S'PORE,000051,CLEMENTI ROAD,027321,,,,,,
90,,18/4/2017,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,,KALLANG,000022,BENDEMEER,000174,BOON KENG ROAD,035533,,,,,,
91,,18/4/2017,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,,,,NEWTON,000044,ORANGE GROVE,000063,STEVENS ROAD,043343,,,,,,
92,,18/4/2017,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,,ORCHARD,000045,TANGLIN,000142,TOMLINSON ROAD,039836,,,,,,
93,,21/4/2017,UPPER CROSS STREET,flash_flood,,,,,1.285862,103.842811,058288,,,,OUTRAM,000046,PEARL'S HILL,000018,UPPER CROSS STREET,031451,,,,,,
94,,27/4/2017,KOVAN ROAD,flash_flood,,,,,1.358496,103.881234,548534,,,,HOUGANG,000011,KOVAN,000162,KOVAN ROAD,016598,,,,,,
95,,27/4/2017,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,,HOUGANG,000011,LORONG AH SOO,000186,TAMPINES ROAD,013554,,,,,,
96,,27/4/2017,TAI SENG DRIVE,flash_flood,,,,,1.337758,103.893213,535222,,,,HOUGANG,000011,TAI SENG,000202,TAI SENG DRIVE,029661,,,,,,
