amenity_id,amenity_type,planning_area,footfall,is_heartland
bcedb335-37e4-56d2-b237-22b91f76fd34,bus_stops,TOA PAYOH,5110.555555555556,True
eb956ce2-3872-5bfa-8cd8-7a5eaf87363e,bus_stops,JURONG EAST,4566.879432624113,True
f268440e-26d2-5aa9-90cc-fa88021a64c8,bus_stops,JURONG EAST,4566.879432624113,True
2b5b7061-822e-5110-9178-3df7094e6956,bus_stops,BUKIT MERAH,5849.447513812154,True
524ffa3b-77dc-5888-ad2e-aba0a813f2fe,bus_stops,YISHUN,6617.1875,True
b624ea62-cc3e-53f6-9c24-4839931f38c4,bus_stops,WESTERN WATER CATCHMENT,11634.615384615385,True
9aa18ad3-542b-5afa-a846-398c9f34a5ce,bus_stops,BEDOK,7181.222222222223,True
8173776a-72d5-531d-bc64-ab41ddfd3081,bus_stops,BEDOK,7181.222222222223,True
1d064922-a452-555f-85bb-a8213af1c462,bus_stops,SEMBAWANG,13371.931034482759,True
96cdb48a-9907-5323-8024-5e05ce90366a,bus_stops,JURONG WEST,7946.434426229509,True
aa92f2c1-0dd0-5e03-b4d7-1b6db0797645,bus_stops,DOWNTOWN CORE,24543.41772151899,False
6f64d21c-52bb-591a-ba3d-f2a090e06461,bus_stops,SEMBAWANG,13371.931034482759,True
3c720116-5156-5b12-bf7e-7d0b29bf07ae,bus_stops,CHANGI,148.8505747126437,True
25f6b4f4-8a0f-59cb-bfa5-eaf5e8839900,bus_stops,JURONG EAST,91.84397163120568,True
01fe721a-6392-56d5-8d2d-b1111276f164,bus_stops,PUNGGOL,196.21212121212122,True
f879278b-0f4b-5988-b4e4-0cf35e526ba5,bus_stops,QUEENSTOWN,57.30088495575221,True
575e8346-0ce0-5645-98c6-d8642a92b550,bus_stops,BEDOK,7181.222222222223,True
8b30f2b3-4cb7-519f-8068-122bedeb0044,bus_stops,PASIR RIS,11680.301204819278,True
45142117-b166-5376-b783-3b40288392b1,bus_stops,SELETAR,84301.3043478261,True
d7852f19-1f55-53bc-9346-f08f8be65eb1,bus_stops,TAMPINES,9233.0,True
32b83092-a5a5-5c0a-aad6-fc813235b84b,bus_stops,QUEENSTOWN,8579.33628318584,True
e50dc058-22a7-5ba4-8654-927c8e9eb5ef,bus_stops,BUKIT MERAH,5849.447513812154,True
dac0162f-3917-5dcd-a25b-d386fe5cf691,bus_stops,CLEMENTI,5749.375,True
9a82d8d6-e7b2-5df6-bd4a-5c9d16b1252c,bus_stops,PASIR RIS,3879.0963855421683,True
af239395-6a04-503c-83b7-7eba62745506,bus_stops,PASIR RIS,3879.0963855421683,True
e56780ec-44be-56f9-825a-b2f56fbeb8ec,bus_stops,BEDOK,7181.222222222223,True
c94f63c8-7444-517a-87fc-011f82a61c59,bus_stops,KALLANG,17158.67256637168,True
bce46fc8-56f2-526e-82b8-bc4bb1c1e36e,bus_stops,WESTERN WATER CATCHMENT,21306.923076923078,True
d74232fd-534b-56c9-b045-b31bbea55ffb,bus_stops,JURONG WEST,7946.434426229509,True
6a894fe5-6f70-55d5-89e7-8a3895aba976,bus_stops,ANG MO KIO,6802.1556886227545,True
257488cf-0912-51c5-bbab-7e1a587e3fa8,bus_stops,GEYLANG,7376.363636363636,True
009a1c3e-4746-504b-8a4e-7ba8505fdf77,bus_stops,ANG MO KIO,6802.1556886227545,True
bdce03cf-b6e9-5161-830f-b79d3d7c21ef,bus_stops,GEYLANG,7376.363636363636,True
9f09d226-e67f-5ea4-a3cf-4c72f75076d7,bus_stops,TOA PAYOH,9015.555555555555,True
0089cf30-cb80-5faf-bd62-109ae27b57d2,bus_stops,CHANGI,148.8505747126437,True
fd5e5bfd-6cd6-533d-8ea1-a3e300fc529b,bus_stops,TENGAH,647.5,True
ff34e039-c2ba-58ad-b36f-31e0a5ed05cb,bus_stops,SUNGEI KADUT,148.8505747126437,True
68e31c2d-0817-5008-821b-e8e3fdc3b04a,bus_stops,WOODLANDS,65.07537688442211,True
