amenity_id,nearest_road_1_id,nearest_road_1_name,nearest_road_2_id,nearest_road_2_name,nearest_road_3_id,nearest_road_3_name,nearest_road_4_id,nearest_road_4_name
63438838-8893-4bd5-b250-8bfe79792f0c,015686,ANCHORVALE LINK,014752,ANCHORVALE LINK,014753,ANCHORVALE LINK,025865,ANCHORVALE WALK
601c5985-32d3-4f22-bff8-de118a1db6da,013835,CASHEW TERRACE,013836,CASHEW TERRACE,002188,CASHEW ROAD,051501,CASHEW ROAD
beef9bb7-a5d6-4ce6-a4a9-9eabd433fcc0,029918,GEYLANG SQUARE,029849,GEYLANG SQUARE,030814,GEYLANG SQUARE,037880,GEYLANG SQUARE
7488faad-331a-40fb-a54d-fd020b80d489,004459,BRIGHT HILL DRIVE,005161,BRIGHT HILL DRIVE,005176,SIN MING LANE,053363,BRIGHT HILL DRIVE
308ad373-12bc-4e41-8d6e-c42ebf7199f4,040838,CECIL STREET,041137,BOON TAT STREET,007608,BOON TAT STREET,043127,CECIL STREET
5a00984f-6d9f-488d-83c9-f86b1107730a,017399,CLEMENTI AVENUE 3,036079,CLEMENTI AVENUE 3,047429,COMMONWEALTH AVENUE WEST,047428,COMMONWEALTH AVENUE WEST
119f25e3-3718-49dc-8c99-72fa514bc6c7,018841,COMPASSVALE CRESCENT,000477,SENGKANG EAST ROAD,008447,SENGKANG EAST ROAD,000581,SENGKANG EAST ROAD
9032bfda-7df5-439f-84a7-eec7787cf814,058592,GAMBAS CRESCENT,047467,GAMBAS AVENUE,058599,GAMBAS AVENUE,058603,GAMBAS CRESCENT
30d671dd-37d0-4f58-96fd-7c1f81e6a76a,056345,UPPER SERANGOON ROAD,056068,UPPER SERANGOON ROAD,056022,UPPER SERANGOON VIEW,056431,UPPER SERANGOON ROAD
903909b7-3001-4c58-97d5-c2bb6393ceb9,048528,TANGLIN HALT CLOSE,014535,TANGLIN HALT ROAD,048397,TANGLIN HALT CLOSE,048399,TANGLIN HALT ROAD
ae401e6a-98ed-4b66-a3af-7d5ff1de43a4,052404,LENGKOK BAHRU,034026,LENG KEE ROAD,020207,LENGKOK BAHRU,038638,LENG KEE ROAD
9f3cc703-39c7-4252-bbd3-5330010546c1,003010,BAYSHORE ROAD,003009,BAYSHORE ROAD,041748,LUCKY HEIGHTS,007254,UPPER EAST COAST ROAD
1842f091-9326-48d8-bf54-b7253593a5c2,019257,DUBLIN ROAD,006372,DUBLIN ROAD,013052,DUBLIN ROAD,024028,DUBLIN ROAD
8f818fa3-e81e-480b-aa6c-18218d2ab556,027582,CHOA CHU KANG NORTH 7,009319,CHOA CHU KANG NORTH 7,010050,CHOA CHU KANG CRESCENT,010052,CHOA CHU KANG NORTH 7
9a5737b0-3129-4ad6-a40f-4848b3be0de5,020310,HOUGANG AVENUE 10,040712,HOUGANG AVENUE 8,020311,HOUGANG AVENUE 10,020313,HOUGANG AVENUE 10
085ace62-fbc3-4ee7-9430-a099e6063d62,022413,CHOA CHU KANG WAY,004892,CHOA CHU KANG WAY,009292,CHOA CHU KANG STREET 51,003631,CHOA CHU KANG WAY
2aecc937-f1ab-4bbc-9faf-6ff464ebec28,044769,JELAPANG ROAD,000667,JELAPANG ROAD,000665,JELAPANG ROAD,000736,SAUJANA ROAD
7dea7bbb-0535-4af9-816f-c756c16d7079,048552,JALAN MERDU,026344,PUNGGOL ROAD,030844,PUNGGOL ROAD,076316,PUNGGOL ROAD
4490e2c9-fdc0-459d-8432-979a4ba44a2f,039857,SERANGOON NORTH AVENUE 1,035549,ANG MO KIO AVENUE 3,035552,ANG MO KIO AVENUE 3,043156,ANG MO KIO AVENUE 3
f8b57ce3-fb00-4aae-afc3-8013e9a8ee24,048746,UBI AVENUE 1,044388,UBI AVENUE 2,076668,UBI AVENUE 2,048754,UBI AVENUE 1
623b7c2c-ce49-4364-8b9a-78676ff1762e,052761,JALAN HOCK CHYE,052744,JALAN HOCK CHYE,052795,JALAN HOCK CHYE,052743,JALAN HOCK CHYE
cb37ad30-fb8f-46a8-8b54-3ccf7c367624,036460,GEYLANG ROAD,036219,GEYLANG ROAD,034599,GEYLANG ROAD,050932,LORONG 28 GEYLANG
9d46c338-4544-492f-9480-6dc97b39a4cf,034063,BUKIT BATOK STREET 22,033150,BUKIT BATOK STREET 22,033151,BUKIT BATOK STREET 22,009250,BUKIT BATOK EAST AVENUE 6
789e1d32-1cf1-4334-b618-b9cd2cb69e26,055617,YISHUN RING ROAD,033555,YISHUN RING ROAD,033554,YISHUN RING ROAD,033338,YISHUN RING ROAD
5062b360-aeac-42ae-a584-e14e92805570,048028,LIMAU GARDEN,048039,LIMAU GARDEN,048216,LIMAU GARDEN,049215,LIMAU GARDEN
96357800-4f2f-4113-a9e5-a2b2fa34c70f,008540,YISHUN AVENUE 2,052438,YISHUN AVENUE 2,057102,YISHUN CENTRAL 1,023137,YISHUN CENTRAL SERVICE ROAD
56292007-dd49-4b78-87b5-00518589b8e9,018256,BUKIT BATOK WEST AVENUE 8,025088,BUKIT BATOK STREET 11,042964,PAN ISLAND EXPRESSWAY,026970,PAN ISLAND EXPRESSWAY
e96978ec-f8b6-4c51-9e69-8411d40f7b92,050821,JALAN LIMAU PURUT,047263,TANAH MERAH KECHIL ROAD SOUTH,050892,JALAN LIMAU BALI,047253,TANAH MERAH KECHIL ROAD SOUTH
c9d892bb-d27a-4a29-91f9-4f9205032f53,036976,LORONG CHUAN,049163,CHUAN WALK,037045,LORONG CHUAN,041183,SUMMER PLACE
37317735-70d6-4eea-a74a-c26c9431b13f,050296,LORONG BATAWI,048125,JALAN LYE KWEE,056358,LORONG BATAWI,056329,UPPER SERANGOON ROAD
fb2e0edc-c7f2-452f-a413-da3dbaddb14f,031754,MARIAM CLOSE,031810,MARIAM CLOSE,031809,MARIAM CLOSE,031728,MARIAM CLOSE
955b982b-5905-492c-ace2-cd5d27f5e946,034536,UPPER ALJUNIED LINK,026447,UPPER ALJUNIED LINK,015165,KAMPONG AMPAT,015075,KAMPONG AMPAT
e9135663-05c6-46a4-a2c1-2018ee2a8873,009173,JALAN CHERPEN,025335,JALAN SAJAK,015398,JALAN CHERPEN,025583,JALAN CHERPEN
a5082c60-8a61-42da-ae06-6e2cdf5f965a,035517,WOODLANDS CLOSE,026637,WOODLANDS CLOSE,058273,WOODLANDS CLOSE,022603,WOODLANDS CLOSE
55b61af7-28d4-4a14-8f9f-3e3c428d2c79,045097,ALEXANDRA ROAD,027954,ALEXANDRA ROAD,010861,JALAN BUKIT MERAH,010844,JALAN BUKIT MERAH
18d04b02-05dd-4b6e-ab6b-852434abd048,009660,WOODLANDS STREET 13,039921,MARSILING ROAD,002458,MARSILING ROAD,002457,MARSILING DRIVE
370d82d0-8689-4d09-ae6d-e486899edce8,048157,BUKIT TERESA ROAD,023329,BUKIT PURMEI AVENUE,043491,BUKIT PURMEI ROAD,017333,BUKIT PURMEI AVENUE
9ac08454-5bda-4813-8e54-8be66c5dd5d1,046477,WOODLANDS AVENUE 9,045645,WOODLANDS AVENUE 9,046506,WOODLANDS AVENUE 9,046283,WOODLANDS AVENUE 9
b8b0b400-6815-4c7a-b328-0b675dbc45fb,008403,TAMPINES AVENUE 7,052859,TAMPINES AVENUE 7,015864,TAMPINES STREET 34,052810,TAMPINES AVENUE 7
183114a9-fb1c-455f-984a-32f92203da0a,031958,TAMPINES STREET 42,031960,TAMPINES STREET 42,051326,TAMPINES AVENUE 9,031957,TAMPINES STREET 42
3d47405e-2722-4455-a4bc-cda7fc30b34a,055403,JURONG EAST AVENUE 1,055421,JURONG EAST STREET 24,055396,JURONG EAST AVENUE 1,055440,JURONG EAST STREET 21
3a61782c-999b-47a3-a8cb-e6465a2016e4,007799,JURONG WEST STREET 63,028995,BOON LAY WAY,036226,JURONG WEST STREET 65,034013,JURONG WEST STREET 63
b06648e2-f9a7-4280-8249-34447eeb1b12,024825,SERANGOON CENTRAL DRIVE,014836,SERANGOON AVENUE 3,016248,SERANGOON CENTRAL DRIVE,023380,BOUNDARY ROAD
79640369-01a1-407f-84ea-6d3449863f64,028333,CORPORATION DRIVE,046463,CORPORATION WALK,047603,CORPORATION WALK,010441,CORPORATION DRIVE
627801b4-d89e-4c1b-92dc-ac786e2142ff,022931,BRADDELL ROAD,023018,LORONG 6 TOA PAYOH,044271,BRADDELL ROAD,018120,BISHAN STREET 12
d575018c-7a00-42d6-84f9-c08b4708fbc1,055604,YISHUN STREET 81,055602,YISHUN STREET 81,051039,YISHUN AVENUE 4,025514,YISHUN AVENUE 4
28444d65-640b-472c-93a6-c40bf0c7f5dd,047229,JURONG WEST AVENUE 4,002703,JURONG WEST AVENUE 4,030681,JURONG WEST AVENUE 4,029595,JURONG WEST STREET 61
9999461e-ec61-4ff8-966a-62b5c3cb461f,021687,PASIR RIS STREET 71,026836,PASIR RIS STREET 71,058080,TAMPINES AVENUE 10,058346,PASIR RIS DRIVE 12
766d76b9-a77b-4552-916e-d263d286e401,032949,PUNGGOL CENTRAL,054126,PUNGGOL CENTRAL,023751,PUNGGOL CENTRAL,023553,PUNGGOL CENTRAL
3ea9ff4f-6c1f-482a-9953-b76decb08f74,005942,PUNGGOL FIELD,005902,PUNGGOL FIELD,044770,PUNGGOL FIELD,036741,PUNGGOL FIELD
05f1be00-78c8-4814-8a8f-9fac3ab65964,017786,EDGEFIELD PLAINS,036945,EDGEFIELD PLAINS,058355,EDGEFIELD PLAINS,026886,EDGEFIELD PLAINS
83875cfd-fa7c-47b6-a52e-46328a9558e0,053676,FAIRWAYS DRIVE,027454,PAN ISLAND EXPRESSWAY,104917,PAN ISLAND EXPRESSWAY,104918,PAN ISLAND EXPRESSWAY
33d6c061-5dbb-49d7-903d-c6774981e1a9,010004,WOODLANDS AVENUE 1,010103,WOODLANDS AVENUE 1,034748,WOODLANDS AVENUE 1,003301,WOODLANDS AVENUE 1
6b2a2ee0-08e9-48f0-9616-8c744e3bd3a0,030006,NATHAN ROAD,027643,RIVER VALLEY ROAD,028866,RIVER VALLEY ROAD,035389,NATHAN ROAD
14aec8dd-a469-491a-aa0e-9a275c7eb459,013576,ANG MO KIO AVENUE 8,013575,ANG MO KIO AVENUE 8,013413,ANG MO KIO AVENUE 8,052422,ANG MO KIO AVENUE 8
fed9a80f-8c62-4e23-9a92-6156a9f7b0a3,044738,WALTON ROAD,036534,MOUNTBATTEN ROAD,050954,CLACTON ROAD,044736,WALTON ROAD
9275112a-d047-45df-964c-a27fb2fa36a6,021552,FRANKEL AVENUE,032561,WILTON GARDENS,032506,WILTON GARDENS,021115,FRANKEL AVENUE
