id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
246,books,popular,797653,1.3911266,103.8759815,9,20,239,28735
247,beauty,spa by alanghaar,219160,1.3068891,103.8512825,6,35,107,5505
248,supermarket,sheng siong,460209,1.3244941,103.9310939,9,1,95,38721
249,toys,toy station,574408,1.3549322,103.8307824,9,51,328,36918
250,bakery,four leaves,574408,1.3546824,103.830552,9,51,328,22153
251,hairdresser,hair by guna,575629,1.3534397,103.8356334,9,51,328,24675
252,electronics,rinnai,389623,1.3147571,103.8911241,9,53,301,3552
253,yes,sky of fate,460213,1.3262833,103.9324237,7,1,95,43131
254,photo,foto express,574408,1.3548482,103.830685,9,51,328,36918
255,hairdresser,top curls salon,574408,1.3550191,103.8306797,9,51,328,36918
256,tailor,hawaii tailor,574408,1.3545205,103.8313462,9,51,328,31939
257,bakery,minumkopi,460213,1.3261941,103.9319627,9,1,95,43131
258,books,katong catholic book centre,428888,1.3068188,103.9064897,9,39,72,43824
259,ticket,water b,059815,1.2894872,103.8465422,9,36,24,6359
260,photo,alan photo,179105,1.291474,103.8502422,9,40,88,357
261,beauty,nailz treats,179105,1.2914212,103.8502698,6,40,88,357
262,attraction,cotton-top tamarin,729826,1.4052079,103.794259,10,7,294,37376
263,attraction,spider monkey,729826,1.4048861,103.7945111,10,7,294,37376
264,attraction,africa penguin,729826,1.4039664,103.7941276,10,7,294,37376
265,attraction,black-and-white ruffed lemur,729826,1.4051583,103.7952581,10,7,294,37376
266,attraction,lion-tailed macaque,729826,1.4049518,103.794959,10,7,294,37376
267,attraction,serval,729826,1.4049706,103.7937078,10,7,294,37376
268,attraction,grey kangaroo,729826,1.4060565,103.7932357,10,7,294,37376
269,attraction,pacu,729826,1.4032692,103.7903953,10,7,294,14949
270,attraction,manatee,729826,1.4033416,103.7904556,10,7,294,14949
271,attraction,red-bellied piranha,729826,1.4033993,103.7905253,10,7,294,14949
272,attraction,mudskipper,729826,1.4037509,103.7918369,10,7,294,14949
273,attraction,archerfish,729826,1.4037656,103.7918145,10,7,294,14949
274,viewpoint,woodlands jetty,000000,1.4547912,103.7783277,10,0,0,30089
275,attraction,giant river otter,729826,1.4031975,103.7906098,10,7,294,14949
276,attraction,cuvier's dwarf caiman,729826,1.4031901,103.7911905,10,7,294,14949
277,attraction,bare-faced curassow,729826,1.4027745,103.7915922,10,7,294,14949
278,attraction,golden headed lion tamarin,729826,1.4027303,103.791617,10,7,294,14949
279,attraction,carribbean flamingo,729826,1.4028523,103.7910698,10,7,294,14949
280,attraction,capybara,729826,1.4025882,103.7914574,10,7,294,14949
281,attraction,silver arowana,729826,1.4028335,103.7915439,10,7,294,14949
282,attraction,white-faced saki monkey,729826,1.4031921,103.7908962,10,7,294,14949
283,attraction,squirrel monkey,729826,1.4029555,103.7913018,10,7,294,14949
284,attraction,trumpeter hornbill,729826,1.4041809,103.7910618,10,7,294,14949
285,zoo,singapore zoo,729826,1.4045935,103.7907296,10,7,294,37376
286,hotel,ibis styles,368125,1.3317706,103.8792945,8,29,192,13562
287,restaurant,flavours by saute,179105,1.2914951,103.8500874,9,40,88,357
288,atm,uob,467356,1.32725,103.94626,4,1,95,42851
289,restaurant,sss wonton noodles,389582,1.314464,103.8895954,9,53,301,3557
290,fast_food,shiok burger,545078,1.3918659,103.894637,9,20,236,16614
291,fast_food,carl's jr.,408600,1.3186183,103.8937265,9,53,121,10197
292,cafe,the coffee bean & tea leaf,408600,1.3188872,103.8939156,9,53,121,10197
293,taxi,tanah merah station,467356,1.326702,103.9460448,11,1,157,41072
294,pharmacy,guardian,039393,1.2928333,103.8532762,6,40,88,374
295,marketplace,bishan street 11 wet market,571151,1.3454936,103.8551947,1,51,178,21347
296,marketplace,ang mo kio blk 724 wet market,560724,1.3723873,103.8465795,1,52,110,34525
297,community_centre,buangkok community centre,544692,1.3822728,103.8926052,1,20,250,27167
298,marketplace,ghim moh road market,270020,1.3110003,103.7883742,1,17,116,1822
299,cafe,dutch colony coffee co.,528523,1.3524393,103.9410898,9,47,179,41191
300,clinic,northeast medical group,529888,1.3427788,103.9536387,6,47,196,42549
301,restaurant,buddy hoagies,528833,1.3423546,103.9531135,9,47,196,42549
302,unknown,box,118028,1.2791787,103.7908482,7,17,44,5134
303,parking,shaw centre,228208,1.3063617,103.8319612,11,45,73,4672
304,cafe,koi express,179101,1.2935738,103.853047,9,40,88,383
305,place_of_worship,the salvation army,507705,1.3532532,103.9651189,1,14,187,38426
306,marketplace,keat hong wet market,680253,1.3775355,103.7442863,1,9,173,14481
307,marketplace,823a wet market,521823,1.3488978,103.9334971,1,47,179,43138
