id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,start_pa_id,start_sz_id,start_rn_id,origin_lat,origin_lng,end100_a_lat,end100_a_lng,end100_b_lat,end100_b_lng,end_lat,end_lng,end_postal_code,end_pa_id,end_sz_id,end_rn_id,origin_rn_id,origin_pa_id,origin_sz_id,start_rn_id2,start_pa_id3,start_sz_id4,end_rn_id5,end_pa_id6,end_sz_id7,end100_a_rn_id,end100_a_pa_id,end100_a_sz_id,end100_b_rn_id,end100_b_pa_id,end100_b_sz_id
66,,17/6/2016,TUAS UNDERPASS,flash_flood,,,,,1.321705,103.663691,638481,15,138,20590,1.322130781,103.6638739,1.32211,103.6639223,1.3221782,103.6632774,,,,0,0,0,20590,15,138,20590,15,138,,,,20588,15,138,31112,15,138
67,,8/7/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
68,,13/7/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
69,,26/7/2016,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,17,25,10160,1.292604309,103.7690434,1.292127,103.7686515,1.2930744,103.7694361,,,,0,0,0,4539,17,51,10160,17,51,,,,4539,17,51,4539,17,51
70,,14/9/2016,50 HOUGANG AVE 1,flash_flood,,,,,1.360305,103.888083,530211,11,186,30585,1.360334788,103.8884129,1.3601609,103.8884286,1.3606533,103.8883796,,,,0,0,0,30585,11,186,30585,11,186,,,,13012,11,186,30587,11,186
71,,24/12/2016,BALMORAL ROAD,flash_flood,,,,,1.313244,103.830181,257878,44,125,11934,1.313245577,103.8301795,1.3131611,103.8300878,1.3135738,103.830536,,,,0,0,0,6909,44,63,6909,44,63,,,,2915,44,63,2969,44,125
72,,24/12/2016,CAIRNHILL ROAD,flash_flood,,,,,1.308031,103.836841,228512,44,56,856,1.308037583,103.8368597,1.308889004,103.8365568,1.307185511,103.8371607,,,,0,0,0,9710,44,56,856,44,56,,,,856,44,56,856,44,56
73,,24/12/2016,STEVENS ROAD,flash_flood,,,,,1.31317,103.828976,257878,48,134,1326,1.313128619,103.8289653,1.3130822,103.8291457,1.31335472,103.8280953,,,,0,0,0,1326,44,63,1326,44,63,,,,1326,44,63,1326,44,63
74,,24/12/2016,UPPER THOMSON ROAD,flash_flood,,,,,1.373054,103.828958,574419,52,171,31145,1.373034909,103.8286653,1.373937896,103.8286165,1.372944,103.8286712,,,,0,0,0,31145,52,171,31145,52,171,,,,31145,52,171,32840,52,171
75,,24/12/2016,ORCHARD ROAD,flash_flood,,,,,1.303228,103.83668,229921,45,79,851,1.30345247,103.8367949,1.3036983,103.8363243,1.303038902,103.8375937,,,,0,0,0,851,45,79,851,45,79,,,,844,44,56,851,45,79
